multiplying in columns;;;;;;;multiply polynomials by monomials;;Interior and exterior angles in triangles;properties of similar triangles;;;areas of composite shapes;;;solving by using properties of exponents;x- and y-intercepts;;;Spheres;;the relationship between arm span and height;;
subtracting in columns;;;;;;;squares and cubes and roots of monomials;;identifying exterior angles and interior opposite angles;working with properties of similar triangles;;;Doubling dimensions of a 2D shape;;;Set up equations to solve problems;vertical and horizontal lines;;;net of a sphere;;;;
long division;;;;;;;Dividing polynomials by integers and monomials;;Constructing congruent triangles;minimum conditions for similarity;;;;;;the mathematical modelling process;Graphs of non-linear functions;;;;;;;
Multiples and factors;;;;;;;Products and squares of binomials;;minimum conditions for congruency;solving problems with similar triangles;;;;;;Equations and ordered pairs;;;;;;;;
lowest common multiples and prime factorisation;;;;;;;Substitution into algebraic expressions;;Diagonals of quadrilaterals;;;;;;;unknowns become variables;;;;;;;;
Solving problems about ratio, rate and proportion;;;;;;;;;drawing diagonals;;;;;;;functions as sets of ordered pairs;;;;;;;;
ratio and rate problems;;;;;;;;;diagonals of a rhombus;;;;;;;;;;;;;;;
Solving problems in financial contexts;;;;;;;;;diagonals of a kite;;;;;;;;;;;;;;;
discount, profit and loss;;;;;;;;;diagonals of parallelograms, rectangles and squares;;;;;;;;;;;;;;;
hire purchase;;;;;;;;;Angles in polygons;;;;;;;;;;;;;;;
simple interest;;;;;;;;;using diagonals to investigate the sum of the angles in polygons;;;;;;;;;;;;;;;
compound interest;;;;;;;;;;;;;;;;;;;;;;;;
exchange rate and commission;;;;;;;;;;;;;;;;;;;;;;;;
